userName,score,at,content
Фатима Дететуания,1,2025-12-01 13:28:05,"klw sistem online,kenapa harus daftar offline juga,sama saja datang langsung ke kantornya"
Martinus Onibala,1,2025-12-01 13:14:42,LBH cepat dan mudah digunakan
Andzar 04,1,2025-12-01 12:42:03,"PENGAJUAN DITOLAK KETERANGAN NYA HURUF NYA HARUS KAPITAL, LAH PADAHAL UDAH NGETIK NYA PAKE KAPITAL SEMUA TAPI PAS PENGAJUAN DAN DI LIHAT DI MONITORING KOK BERUBAH JADI KECIL HURUF NYA ANEH. PADAHAL MAH BISA DIA RUBAH KAN DIA PUNYA SISTEM NYA, EH DI BIKIN RIBET MALAH DI REJECT."
Firdaus Alam,1,2025-12-01 11:57:17,"saya kira ada aplikasi spya lebih mudah krna online, sekalinya hrs mengurus scra offline jg ke kantor kelurahan. sungguh sangat gaptek"
Aisya Dina,5,2025-12-01 11:25:32,ok aplikasi in bos
Kalam Buai99,5,2025-12-01 10:47:22,"aplikasi sampah,, tak berguna,,"
DigiTamaCorp,5,2025-12-01 10:35:46,5star
Alfath QarizhSA,3,2025-12-01 09:50:32,ini aplikasi kenapa ya? sejak 2hr lalu gk bisa di buka terus sampe saat ini???
Muhammad Refli,1,2025-12-01 09:14:55,"aplikasi ribet, untuk apa dibuat aplikasi jika harus tetap mendaftar akun harus offline. padahal tinggal masukin NIK ktp, identitas lainnya seharusnya Sudah bisa akses akun"
372_ Shese,1,2025-12-01 08:30:40,Ribetttttt banget harus offline didepan petugas
Sunarto Narto,5,2025-12-01 07:56:37,sip mantab
Abenk putra,4,2025-12-01 07:41:20,tolong di perbarui saya udah aktifiasi di kantor kecamatan tapi aktivasi akun tidak dikirim ke email yg saya daftarkan
Lambok,1,2025-12-01 07:10:20,sangat buruk pelayanan
ALDHI BESTARI,1,2025-12-01 05:57:25,"kenapa sesulit ini sih, padahal cukup masuk ke website aja download e-KK, gausah pake aplikasi2 gini, padahal se simple itu, inima masuk aplikasi aja ribet"
Mutamimmah Mutamimmah,1,2025-12-01 05:37:48,sebenarnya ini masih aktif atau tidak ? sudah berapa kali masuk tetap error
Febriyanto eko saputra Koko,5,2025-12-01 04:48:19,sangat baik
Edi suroso,1,2025-12-01 03:29:33,ga bisa dibuka
liska chanel,1,2025-12-01 03:09:41,pin sala trus padahal sudah benar saya mau masuk lagi ke apk nya dan ngk bsa tolong di jawab dan di benarkan
adam sebastian,1,2025-12-01 02:31:58,"percuma menu pelayanannya di dispenduk sampang jatim gak lengkap. entah kualitas SDM pegawainya yg gak bs menten ni apk ato emang apk nya cm hore2 di medsos tp gak guna di lapangan, sekedar menggugurkan tanggung jawab.. auto antri sampe ratusan orang.. padahal andai di menten sangat memudahkan.. g perlu beramai2 antri.. ntah kenapa untuk kab sampang jatim masih terbelakang.. lebih mengutamakan antrian manual.. mending gak sah sok2an pake digital kemnetrian dispenduk.."
Minot Lima,1,2025-12-01 02:14:36,app jelek busuk ga bisa login
Haura Tsabitah,1,2025-11-30 19:54:48,"apk gjls makin ksni makin aneh. udh jelas2 udh daftar langsung ke desa giliran mau masuk akun tidak di temukan padahal pin udh bener.bukan cuma 1/2x bgtu, payahh, jadi bikin sulit orng aja.👎🏻"
Agus Setiawan,5,2025-11-30 15:15:43,Aplikasi dapat digunakan sesuai dengan kebutuhan yg bisa diambil dari aplikasi IKD.
GOJEK DRIVER,1,2025-11-30 10:59:50,geblek 🤣
Aro Hura,2,2025-11-30 06:58:14,susah masuk
Shandy Ramadhan,5,2025-11-30 06:18:25,Bagus
Abdul Hadi,5,2025-11-30 05:56:41,Sangat membantu BISNIS ABDUL HADI. Semua data aman terpercaya dan dijamin kerahasiaannya.
MuMi,1,2025-11-30 03:49:22,"dipermudah lagi registrasinya...gila...bikin akun saja harus scan barcode ke petugas capil, kalian tau jarak capil berkilo². digital apaan ini !? aplikasi asal asalan!?"
ronal anwar,1,2025-11-30 02:52:37,ribet
Lutfi Murdani,1,2025-11-30 00:56:37,g jelas pemerintah di bikin susah rakyat dah tau kalangan masyarakat bawah hp nya biasa aja ini stelah di update malahan ga bisa didukung hp android manag nya harus pake kaya gimana nyusahin aja
Ruang Hati,3,2025-11-30 00:06:57,bingung kode QR dimana sih?
NURLENI,1,2025-11-29 23:14:43,"masa pas apdet data saya jadi ilang sih, padahal kan saya udah daftar ikd di kecamatan, mana pas mau login swapoto nya susah banget, perbaiki dong min gimana sih"
Kumagawa Misogi,4,2025-11-29 20:24:28,tolong saya plisss
irul Grafika,1,2025-11-29 18:05:12,"saat aplikasi di update yang terbaru jadi susah masuk ke menu. padahal sinyal internet aman, mencoba login jam 1 malam tetap eror. sudh d uninstal hasilnya tetap eror. untuk saat ini aplikasi ini tidak recommended. rugi waktu ke DISDUKCAPIL untuk verifikasi, hasilnya tetap tidak bisa d akses"
Annoe Ano,3,2025-11-29 13:09:11,3 dlu belum di coba
RIZKY AMALIAH,4,2025-11-29 13:02:42,𝚔𝚎𝚗𝚊𝚙𝚊 𝚜𝚊𝚢𝚊 𝚝𝚒𝚍𝚊𝚔 𝚋𝚒𝚜𝚊 𝚍𝚘𝚠𝚗𝚕𝚘𝚊𝚍 𝚊𝚙𝚕𝚒𝚔𝚊𝚜𝚒 𝙸𝙺𝙳?
Soleh Khudin,1,2025-11-29 09:43:11,"aplikasi masih aneh, setiap kali mau masuk harus isi data lengkap dulu,"
bang baron,1,2025-11-29 07:59:42,aplikasi bukan memudahkan malah bikin ribet dan lama percuma online kalau daftarnya juga harus ofline
debrin tubeU,1,2025-11-29 06:26:13,"kalau sudah terblokir harus ke dukcapil lagi,, itu bukan solusi. bikin aplikasi gak perlu wah ,yang penting ringan dibuka, mudah dipakai ,bisa ke semua platform OS, stabil, belajar dari aplikasi BPJS kesehatan sudah lebih baik"
Jawara Betawi,1,2025-11-29 05:06:10,apk nya eror gak bisa buat daftar nya.
fahsya,3,2025-11-29 04:20:30,"pengen cek ktp, malah disuruh update. sekalinya mau di update malah nggak berkompatibel"
Moza Nury,1,2025-11-29 02:19:57,"parah aplikasi gak guna, berkali2 login selalu berhenti di izinkan kamera, hapus aja aplikasinya. percuma ada aplikasi kalau penggunaannya ribet. buang2 anggaran."
Rendi Irawan,3,2025-11-28 15:45:38,untuk menu yg lain nya saya bisa masuk. kenapa masuk menu pelayanan tidak bisa. tolong dibantu agar APK nya bisa di gunakan sebagaimana mestinya
Handoko Raja,5,2025-11-28 14:45:23,mantap
Adi Nugroho,1,2025-11-28 14:29:44,sekelas pemerintah aplikasi kaya gini malu maluin
Cici Amelia Susanti,2,2025-11-28 12:33:20,aplikasi apaan ini... minta perbarui udah di perbarui.. minta swafoto .. eh tombol swafoto GK fungsi.. tolong cek aplikasi ny donk staf dukcapil.. aplikasi jelek begini.. udah sering saya cek ini apk GK ada perubahan.. tolonglah stf dukcapilll perbaikannnya.. trims
TVne DW,1,2025-11-28 12:09:18,"TIDAK BERGUNA !!!! minta izin foto dan video di prangkat ,mikrofon sembarang..!! gila-gila hati kawan pemerintah ingin mengetahui/memantau dan bahkan bisa hack data2 paling privat ,saran yg di pakai harus prangkat yang steril !"
Rudy Yusron,2,2025-11-28 11:22:03,"tiap masuk suruh daftar lagi, bosen"
KMKZ 101,1,2025-11-28 11:04:36,mohon diupdate samsung a55 5g android 15 tidak suppot
ayy immo,2,2025-11-28 11:03:48,"ini aplikasi gimana si, ini kan pelayanan online tp daftarnya harus luring, hah???? buk pak, kalo emang hatus offline2 juga ngapain pake aplikasi bikin ribet, dari tempat saya, capil tuh jauh bgt, ongkosnya aja 200 ribu. ya allah gak ada niatan memudahkan warganya apa. di tempat saya bikin kk, ktp mahal, karena jauhnya akses ke capil, pegawai desanya cuma tau duit2, jadi enggak, bnyak warga yg disalahkan kalo data gak update tp nyatanya memang sulit. bnyak yg tidak tersentuh bansos gara2 data"
Elis Tjong,1,2025-11-28 10:03:36,"TERLALU LEMOT, LOADINGNYA PARAH, LAMA BANGET. update bukannya bagus malah sama aja. untuk skrg aplikasi pemerintah yg paling bagus cuma JKN sisanya bintang 1"
Agus Purwanto,4,2025-11-28 09:08:11,"suka login ulang tertulis masuk device baru,, padahal kgk pernah ganti device,jd harus setting ulang, udah oke biometrik jg msh ulang lg ini BAGAIMANA,,??? TOLONG PERBAIKI"
nissa aini,1,2025-11-28 09:00:52,"kalau memeng sudah digital kenapa harus daftar offline dlu di depan petugas, ini rawan calo dan pungli sih menurut saya"
adityan official,3,2025-11-28 08:14:43,ikd gak bisa buat perubahan data pekerjaan ya kak?
Err,1,2025-11-28 07:03:26,"TOLONG DONG BARU AJA DAFTAR DI KECAMATAN UDAH BISA TINGGAL NUNGGUIN EMAIL BUAT AKTIVASI AKUN NYA GA MASUK MASUK UDH 24JAM DITUNGGUIN, HARUS NUNGGU BRP LAMA LAGI CUMA SECERCAH EMAIL DOANG LAMA NYA MINTA AMPUN"
Untung Mudjiono,5,2025-11-28 05:07:41,sangat di mudahkan
سيدناعروة البارقي,1,2025-11-28 04:22:32,S&k Nya kurang membantu masyarakat. ngapain pendaftaran harus offline
Susanto Jonges,5,2025-11-28 04:06:31,Mantap
Dedeh Althea,2,2025-11-28 03:42:16,tidak bisa di install
Ahmad Dzulkaryana,2,2025-11-28 03:30:45,"Saat membuka aplikasi IKD setelah menyetujui syarat dan ketentuan akan diarahkan ke pemilihan cara masuk, karena pengguna baru jadi harus daftar offline di dukcapil kecamatan."
Samson Hero,1,2025-11-28 03:11:17,sudah bisa lain hari buka malah hk bisa di buka malah suruh buatakun daftar lagi....aplikasi ripet seteleh update
Subhan Imani,5,2025-11-28 02:52:03,bagus
DOBRACK CARTER,5,2025-11-28 02:38:46,good
putri trya lestari,3,2025-11-28 01:44:17,"mohon maaf saya kasih bintang 3 karena sesuai kenyataan mohon di perbaiki ya mau perbaiki KTP aja lemottt banget ke back 1 kali ,gak bisa scan kode jadi belum beres KTP saya."
Jimmy,5,2025-11-28 01:40:01,aplikasi yang membantu
pitik cilik,1,2025-11-28 00:14:06,"desain jelek, server lemot sering maintenance, gk jaminan data kita aman, sok2 an bikin digital tp dana gk maksimal ya gini, struktur apk nya ya ampuuuuun"
Indah Fajriah,1,2025-11-27 23:06:33,apaan udah daftar pin juga bener malah ga bisa kebuka... verifikasi salah lah ...
ANDREAS WAHYUDI,1,2025-11-27 22:41:40,UDAH MASUKKAN IDENTITAS BENAR KETIKA VERIFIKASI KOK GAGAL?? YG BENAR LAH BIKIN APLIKASI NYA
Unan Junjunan,5,2025-11-27 19:52:31,"terimakasih,Sudan bisa di unduh lagi,tinggal kunjungan ke Disdukcapil utk aktipasinya"
Widia Rahma Sari,1,2025-11-27 16:53:16,"Loading sangat lama, aplikasi jelek. Harusnya aplikasi negara itu berkualitas, aksesnya cepat, jadi kalo orang mau ngurus berkas itu mudah, cepat, satset, lah ini nunggu lama ada mungkin 1 jam. Tolong diperbaiki, upgrade kecepatannya dan tolong kalo udah pernah log in itu jangan tiba-tiba ke log out, ini mau masuk lagi susah, harus ulang aktivasi dari 0 lagi, ya kalo ngurusnya mudah, ga, harus lewat kecamatan lah, ini lah. Bukannya mempermudah malah mempersulit masyarakat, mau sampe kapan? stuck"
Zaenal Abidin,5,2025-11-27 15:32:50,biar KTP ketinggalan saya bisa lihat di IKD
Mas Mamang,5,2025-11-27 13:00:50,mantap
rian tri murjanto,1,2025-11-27 12:54:48,"aplikasi minta di update,habis di update malah data tidak di temukan"
sabililah rahayu,1,2025-11-27 12:16:09,aplikasi apaan. kaya anak SMA suruh update malah hilang. tidak compentibel jelek banget
Satya Prawira,1,2025-11-27 11:20:55,Apa guna nya IKD kalau urusan di PT.POS & yg lainnya masih saja di persulit... Benar-benar tidak jelas fungsinya tidak bisa berlaku...
Amerrr Gaming,1,2025-11-27 10:29:23,apk pemerintah emng bobrok semua yaa? susah bet perasaan masuknya
Ismail Dimyati,1,2025-11-27 10:03:03,aplikasi nya aneh... blm punya akun disuruh daftar tapi pilihan nya daftar (offline) & sdh ppunya akun.. setelah daftar offline ternyata hrs scan QR petugas.. aplikasi kan di buat untuk mempermudah masyarakat yg tidak perlu hrs ke kelurahan.. bukannya mempersulit.. hadehh
pras pintarnya,1,2025-11-27 09:50:38,makin parah aja jadi gak bisa support sama sekali.kacau nih IT nya kenapa gak versi yang sebelumnya.saya gak bisa lihat data saya kalau begini caranya gimana coba.main ribet aja
srihardarmantik,1,2025-11-27 09:22:40,Online tp malah buat sengsara cara daftarnya hrs ke kantor gk masuk akal
Afri Hidayat,1,2025-11-27 08:31:18,Ternyata daftarnya masih harus datang ke dukcapil. payah.
R Bee,5,2025-11-27 07:33:23,"proses bikin akte kelahiran blm punya nik,, proses nya ko lama ea... udah ampir 2 minggu msh blm d proses.."
Rhika Puspita,1,2025-11-27 07:13:22,KECEWA..... FUNGSI KAMERA VERMUK GAK BERFUNGSI
Putri Komalasari,2,2025-11-27 06:15:17,lama bener
Rico Ade Fantasia,1,2025-11-27 04:50:55,"aplikasi gak berguna. mau ajuin kk, akta kelahiran, dan KIA. harusnya bisa lewat online,,gara-gara IKD ini saya harus ke gedung capil untuk minta barcode,, abisin bensin dan waktu, tolong kalo bisa verifikasi langsung lewat email aja. gak usah berbelit2. katanya BerAKHLAK. gak smart ASN kayagini mah! manajemen nya kurang! diperbaiki lagi kinerja nya."
Nita Rosiana,3,2025-11-27 03:29:39,"sudah didaftar dibalai desa ,setelah beberapa bulan aplikasi diperbarui ,mau masuk aplikasi tidak bisa ,pdhl sudah didaftar jadi harus masukin lagi nik nya . habis itu harus foto ,lemotnya minta ampun . sudah foto tapi tidak bisa . jadi tolong. jika sudah terdaftar mau login jangan dipersulit ,tinggal masukin password aja mohon ditingkatkan lagi servernya"
Taufik,1,2025-11-27 02:40:50,"aplikasi tidak berguna, tidak bisa digunakan dalam kehidupan sehari hari, tidak seperti identitas fisik/ KTP"
Anisa Nisaaa,1,2025-11-27 01:44:01,Tidak bisa di download kartu keluarga
Nilaa Lyn,1,2025-11-27 01:01:46,tdk bs scan qr
Antareza Satria,1,2025-11-26 23:56:31,geblek. digital aja kalo bisa sulit kenapa dipermudah.. ini apk anggarannya berapa T sih??
Maulidya Putri Pratama,1,2025-11-26 23:26:44,"tolong adakan opsi print KK donk, sudah digital tapi tetep aja pada menta fisik... copy KK habis nih"
Setyo Martono,2,2025-11-26 18:50:55,"waktu pertama bikin di kantor kelurahan bisa dibuka,tapi gak pernah kepakai.Sekarang malah gak bisa dibuka walaupun sudah terinstal."
Suwarno Aji,5,2025-11-26 12:43:17,sangat berguna
Retno Dwi Utami,2,2025-11-26 12:17:00,jadi susah kalo mau verifikasi e-wallet mempersulit bukan mempermudah
Agus Tej,1,2025-11-26 12:07:16,aplikasi tidak berguna
Effe Top,1,2025-11-26 11:39:56,Lah kocak..klo mau bikin akun baru tetap harus dtg ke kantor nya & login didpn petugas nya..trs guna nya aplikasi online apaan klo ttp harus repot² dtg ke kantor??
Ade H. Priatna,1,2025-11-26 09:11:11,"Ribet harus datang offline, padahal namanya E-KTP"
Ben Steven,1,2025-11-26 09:03:51,"tetap tidak menyelesaikan permasalahan, musti datang ke kantor dukcapil, apa gunanya aplikasi kalo masih wajib ke kantor dukcapik kapan indonesia bisa maju buuuuruuuuukk!!!"
Sumadi Madi,5,2025-11-26 07:33:49,𝐉𝐨𝐬 𝐦𝐚𝐧𝐭𝐚𝐩
linda ema,1,2025-11-26 06:50:24,"kurang efektif, diadakannya aplikasi itu untuk mempermudah proses online, ini harus verifikasi dulu datang ke dukcapil.. sangat tidak membantu"
Ari Dwi Saputra,1,2025-11-26 06:41:16,gak kejamin data lu aman di nih aplikasi gw ragu server nya aja busuk bet sekelas aplikasi pemerintah
Tasmania Tasmania,5,2025-11-26 05:41:36,kenapa aplikasi tidak mau terbuka
sahroni aliansi,1,2025-11-26 05:24:33,"mau Masuk di suruh Update, mau di Update tidak bisa ada peringatan Perangkat Hp anda tidak bisa menerima... server Pusat error..."
Andra Patoni,2,2025-11-26 04:52:42,udah daftar minta kode QR .trus kode QR suruh minta ke petugas .trus gunanya apa donlowd aplikasi ini klo orangnya di luar negri..bikin aplikasi yang agak pinter kyak luar negri GT lo
Zae Andalas,1,2025-11-26 03:41:37,jelek banget
ZAID REZA AL GANZAL,5,2025-11-26 03:35:35,good
Alex Sunarso,5,2025-11-26 03:26:52,siip
BEGAWAN SUJATMIKO,1,2025-11-26 02:57:10,APliKasi yang sangat sangat memBAGONGkan
august romdhony,1,2025-11-25 22:58:53,"Aplikasi sampah... Selalu mendaftarkan ulang jika tidak dibuka lebih dari 1 minggu. Lebih baik tidak usah dipakai, hanya proyek pengadaan yang menyulitkan masyarakat"
singgih .D. ACE,1,2025-11-25 21:59:04,"UDAH PAKE GIMMICK ONLINE, DAFTAR AKUN MASIH HARUS OFFLINE? INI APLIKASI BUATAN KOREA UTARA APA GIMANA?"
Khoirun Niswatin,2,2025-11-25 21:47:30,susah di akses
Irwan N,1,2025-11-25 14:45:22,jadi tidak ada fungsi
Mesya Anggita,2,2025-11-25 12:14:54,"AQ ganti hp android versi 15 tidak bisa buka aplikasi, pdhl hp sebelumnya bisa untuk buka. solusinya gimana min...?"
Ulfa Hasanah,1,2025-11-25 12:03:06,tidak puas
Tarmo Virgo,3,2025-11-25 11:59:25,Setelah di update aplikasi malah tidak bisa masuk akun tidak terdaftar / verifikasi salah aneh
Noki,1,2025-11-25 11:18:40,"APLIKASI CACAT MASA LUPA PIN HARUS KE KANTOR CAMAT/BALAI DESA, SEHARUSNYA TAMBAHKAN FITUR LUPA PIN NGEREPOTIN ORANG AJA"
Yopanie Oktavia,1,2025-11-25 11:13:41,sesudah di update aplikasi nya ga kebuka
Ida Mawar,5,2025-11-25 10:05:25,terima kasih
wawan wawan,1,2025-11-25 09:58:50,Susah dibuka.
Hasan Altsr,4,2025-11-25 09:35:15,"aplikasi ini berguna banget,jadi gak usah keluarin KTP dari dompet lagi"
saeful anwar,5,2025-11-25 08:49:43,Aplikasi tidak bisa di buka
Aurora Gamers,1,2025-11-25 08:09:29,Bukannya mempermudah malah nyusahin. Orang lupa pin mau reset aja ngga ada. Belum bisa kah buat skala pemerintah codingnya?
Ash_ official,1,2025-11-25 08:07:53,"masyarakat di suruh ikutin aturan pemerintah, tapi aplikasi nya paraaah banget login aja susah ribetttt.... eror mulu kaga jelas..."
Dodi Adian Putra,5,2025-11-25 07:09:21,bagus
Hari Setiawan 128,2,2025-11-25 05:51:06,"minimal dibikin lahh tulisan download KTP dan Kartu keluarga BIAR GAMPANG DISIMPEN DAN DICETAK, GAK PERLU LAGI REPOT2 HARUS KE DUKCAPIL CUMAN SCAN BARKOT BARKOT ITUU, GAK SEMUA ORANG RUMAHNYA DEKET"
Saepudin MZ,2,2025-11-25 05:49:37,"Bagaimana ini, sekelas aplikasi pemerintahan aplikasi error tidak bisa login. mohon diperbaiki, nanti biar bintang yang bicara"
Moch Efendy,1,2025-11-25 04:08:37,ribet aplikasinya nggak bisa efisien
Syaiefulloh Muhrim,5,2025-11-25 03:13:15,sangat flexibel
jonnasutte situmorang,4,2025-11-25 02:42:54,okeh
Arrafi'atu Arsy Almas,1,2025-11-25 02:32:41,perangkat sudah gabisa lagi mau update
Rahman Dgtaba,5,2025-11-25 02:18:28,suka
Muslimin Riono,5,2025-11-25 00:30:27,bagus
asep Suryanto,5,2025-11-24 21:48:38,keren banget
Tille Tatto,1,2025-11-24 17:28:17,"apa ni oi swapfto ga bisa"" sumpah klo aplikasi ga siap jngan di buplikasi n d bikin"
Neng Nurlatifah,2,2025-11-24 17:20:21,"seharusnya yang punya nik KTP gak usah daftar offline lagi, coba yang di luar negeri mau buat KTP yang hilang mau pulang dulu ke Indonesia?? pegawai kependudukan Indonesia penuh korupsi jadi offline atau online tetap di persulit"
Dom Bakry,3,2025-11-24 15:49:58,APK apa ini
Rudi Rudi,5,2025-11-24 14:27:56,bagus
aska fahmi,4,2025-11-24 13:37:53,baik responsif
Anisa Triyana,1,2025-11-24 10:55:47,"Apl ga jlas, ga guna pemerintah buat buat bgni klo aplnya semua eror"
Teguh Himawan,5,2025-11-24 09:34:55,sudah bagus
Nur Sakbaniah,5,2025-11-24 09:24:41,cukup bagus👍
Nazirni M. Yusuf,5,2025-11-24 09:13:53,Keren. Wajib punya.
Abdul Aziz,1,2025-11-24 09:12:32,aplikasi ruwet... harusnya lebih canggih... ini harus ke dispeduk... padahal ada fitur swacam... parah...
Rama Dhan,1,2025-11-24 08:12:14,"birokrasi pemerintahan gada yg bener, namanya kan digital masa daftar harus depan petugas ???"
Ino Lisno,1,2025-11-24 07:47:29,aps nya bukanya mempermudah malah mempersulit karena setiap membuka aplikasi nya kita harus lebih keseringan mengupdate.aps biasanya di update minimal sebulan skli lah ini kadang 2 kali seminggu
Slamet Triyono,1,2025-11-24 06:44:15,"gak guna, mau screenshot gak bisa dicetak langsung gak bisa, padahal butuh di print untuk kebutuhan perlengkaoan dokumen. udah tw apa2 dinegeri ini msh hars pake manual juga harusnya disertakan fitur yg bisa mendukung setidaknya print langsung."
Sri Pamungkaswati,5,2025-11-24 06:19:16,lebih mudah di akses dgn tampilan exotic dan menawan sayang bantuan dari pemerintah zero .... terima kasih
Megah Celullar,3,2025-11-24 05:38:09,aplikasi tidak kompatibel di perangkat saya padahal waktu itu bisa digunakan
Vico Yanuar Putra,1,2025-11-24 03:20:48,"produk gagal ,"
Jhon Terry,1,2025-11-24 03:09:32,Terburuk Susah login
Khansa Fathir Rey Althaf,2,2025-11-24 02:41:33,"aplikasi bagus, tapi tidak bisa untuk daftar bpjs, buka rekening bank, mereka tetap minta ktp fisik"
Mas Lana,1,2025-11-24 02:28:43,"baru di update malah gak bisa di buka eror. ampun deh. nanti yang di salahin penguna ikd, padahal app ikd nya yang gak beres..."
Ferry Septian,5,2025-11-24 02:27:08,good
Slamet Sinang,4,2025-11-24 02:18:10,gampang utk pengecekan
Tinah Tinah,1,2025-11-23 16:46:39,"jujur aja aku tuh kesel banget, kalo emang apk ini mempermudah kenapa begitu apk ini di perbarui, akunnya malah ilang dan ketika mendaftar lagi sesuai peraturan di apk kenapa tidak bisa dan itu selalu gagal untuk masuk ke akunya"
tardi sda,5,2025-11-23 15:35:06,memembantu dan mudah untuk di pake
Bunga Wulandari,2,2025-11-23 14:31:07,harusnya bisa menambahkan anggota keluarga baru untuk pasutri yang baru nikah sih
Sultanrizki M,1,2025-11-23 13:27:13,KONEKSI EROR PADAHAL JELAS JELAS SINYAL BANYAK APLIKASI GA BERKUALITAS
Mohkherudin Udin,2,2025-11-23 13:10:30,tolong identitas KTP nya seluruh yang ada di KK nya.. jangan cuma satu saja....
Xcho Supriyadi,5,2025-11-23 13:05:40,terkadang sudah di buka data nya suruh muat ulang saya terkadang agak bingung
Sarono Setiyawan,1,2025-11-23 13:05:34,"aplikasi sering erorrr, gak tau niat bikin apa ngga ini"
Abizar Alfathur,5,2025-11-23 13:04:31,mudah untuk d aplikasi kan dan data data diri menggunakan aplikasi ini
iwan kusharyadi,2,2025-11-23 12:50:56,aplikasi pemerintah sering error terus kebanyakan di korupsi nih
Bachtiar Maulana,1,2025-11-23 12:50:12,seperti biasa aplikasi buatan pemerintah pasti error
Choirur Roziqin,3,2025-11-23 12:32:35,setalah diperbaharui gak bisa masuk
Rafhi Ismail S.,1,2025-11-23 12:24:19,tambah anehh setelah update.. pas isi verifikasi pin ada tanda error terus.. padahal pin udah bener
Erik Gbastian,1,2025-11-23 11:52:37,koneksi terputus trus
An Toni,1,2025-11-23 11:44:28,"kenapa ini aplikasi IKD kok tidak bisa digunakan lagi,ada apa ya,kok jadi error gini."
Kahfi Rafsanjani,1,2025-11-23 11:26:47,"sering error', please deh sekelas pelayanan publik begini kualitasnya, kalian kerjanya apa sih"
Vmdareabanten,1,2025-11-23 11:19:15,"setelah ganti ponsel , pin saya jadi error, aplikasi aneh."
Ade Mulyana,5,2025-11-23 11:15:11,selalu update aplikasinya
ANOMI 029,1,2025-11-23 11:10:31,"anggaran negara dipakai membuat salah satu aplikasi yang gagal, mau daftar gagal terus. Developer/Coding nya kaga becus bikin aplikasi apa gimana. sini biar gua gantiin jadi developernya."
Anies Rufaida,3,2025-11-23 11:04:22,"masih suka ke logout tiba tiba dan eror saat mau akses akun, tolong segera diperbaiki"
Iyan Nopiansyah,1,2025-11-23 11:02:58,"Baru di update, gak bisa masuk..... Pin salah mulu. Aplikasi gak guna, Buatan makhluk² Negara konoha emang lebih banyak cacatnya"
sum ratih,5,2025-11-23 11:00:28,cukup bagus
Teguh Rohmat,1,2025-11-23 10:54:35,"gajelas bgt mau login susah, pin udah bener gabisa masuk eror terus. aplikasi pemerintah gaada yg bener satupun. kalo pun emang lupa pin gaada buat ganti nya kalo mau login susah haduh gimana sih ini aplikasi diupdate malah makin gajelas!!!!!"
anjar sedayu,1,2025-11-23 10:54:05,"ngotak dikit klo bikin aplikasi, d download ga bisa d screenshot g bisa, terus bisa nya cuma nampilin, klo lupa password cara gmna ga da button pilihannya....."
nasim firmansyah,5,2025-11-23 09:57:50,mantap brooo
Muhammad Septian royhani,1,2025-11-23 08:33:23,aplikasi gk genah masa setiap mau masuk eror mulu
Kafka Aisyah,1,2025-11-23 08:20:16,"parah,setelah update aplikasi,kenapa pin ga valid, padahal sebelum update aplikasi msh bisa pake pin yg sama hadehh"
Moch. Anas Abidin,1,2025-11-23 07:31:50,habis update malah susah login.
Maman Polapa,1,2025-11-23 07:14:23,gak rekomendasi buat cek data
Vin Aika,1,2025-11-23 05:47:29,"Aplikasi tdk berguna ini.. cuma menuhin hp saja, td bisa untuk pengganti ktp. Bikin SIM SKCK harus ttp ada fisik dan alhasil harus foto pake hp lain karena tdk bisa d screenshoot.. Pdahal saat mau cetak ktp diarahkan pakai aplikasi nanti untuk pengurusan dokumen bisa dengan e ktp ini, nyatanya omong doang. Jangan sok sokan online kalau blm siap online. Kartu buat cetak ktp setiap tahun juga alasannya habis dibuat apa?? Cuma krtas aja ga adakah untuk anggarannya. Payaah payaah"
Marvita Sari,1,2025-11-23 02:42:01,aplikasi paling Buruk sepanjang masa
Rahmad Prambudi,4,2025-11-23 01:44:04,lebih praktis
ahmad zaky,3,2025-11-23 00:28:53,"sdh punya akun terdaftar d dukcapil dan sdh masuk apk tapi kenapa setiap mau masuk apk harus isi ulang biodata lagi seperti awal,, kan malesi,,,tolong d tingkatkan lg biar gak ribet,,ini kalau yg pegang hp orang tua mngkin gk berguna apk ini krn hrus isi biodata lg setiap mau masuk/log in.."
Suyanto Yanto,5,2025-11-22 23:39:56,Saya Mau Faftar kartu tanda penduduk secara onlen
Mohamad Fuad,1,2025-11-22 22:00:41,aplikasi setengah hati
Achrom Nurul Fatimah,1,2025-11-22 16:44:02,"pendaftarannya harus offline tidak seperti aplikasi ducapil wilayah lain, mempersulit warga untuk urus administrasi dan berbagai dokumen. percuma aja ada aplikasi kalau daftarnya harus tetep offline mempersulit warga yang berada di perantauan."
Anto Tok,1,2025-11-22 15:06:54,"mau daftar online, tapi harus dihadapan petugas. apa bedanya dg daftar offline... ? online yang mengofflinekan...."
Siti Zaenab,1,2025-11-22 13:33:12,apakah bisa buat kia anak?
Cikal Mania,5,2025-11-22 12:31:08,sangat bermanfaat
Karso Panjaitan,5,2025-11-22 12:10:20,sangat terbantu dengan aplikasi ini
Raden Yusuf,3,2025-11-22 10:38:04,"saya pernah gunakan aplikasi ini setelah 1 bulan lebih saya gak buka aplikasi nya, pas mau di gunakan mau buka aplikasi nya gak bisa lagi"
Citra NC,3,2025-11-22 09:42:16,"Kenapa Daftar Akun harus Offline??? Tadinya dengan adanya aplikasi kirain akan lebih simple dan mudah, kalo harus offline jarak dan waktu jadi kendala"
