userName,score,at,content
frie Mode,2,2025-12-09 08:36:58,ini kenapa we mau buka pelayana aja gak bisa bisa.
Lazuardi Justice,5,2025-12-09 07:38:45,cukup membantu
Video Lucu ID,1,2025-12-09 05:38:15,busuk
Itex junior,5,2025-12-09 04:49:08,Sangat bagus pelayanan nya
safrin pasaribu,5,2025-12-09 04:07:35,makin muda aja aflikasinya ada ini
Nurkasih Andy,5,2025-12-09 03:30:42,lebih cepat dan mudah disaat dokumen tdk dibawa
Doni Setiawan,3,2025-12-09 02:55:52,"harusnya adain button print dan save dokument untuk kk,ktp. kalau hilang engga perlu lagi ke kelurahan."
Kharisma Putri Agustin,5,2025-12-09 02:21:13,foto ktp nya bagus 🤍
Traveling Hijrah Hijab,1,2025-12-09 02:09:11,aplikasi ga jelas. sudah sesuai. amalh invalid terus
Untung Hartono,5,2025-12-09 01:57:28,baguss sekali
Arief Nur I,1,2025-12-08 23:41:01,hp sy gak bs download.. sdh coba tips dan trik gmn caranya bs.. tp msh saja gak bs download.. Utk admin tlg perbaiki sistem lg agar bs didownload oleh berbagai merk hp android..
Zulki Muhamad,1,2025-12-08 23:25:48,yg blm punya akun gmna
Anca Suriansyah01,3,2025-12-08 19:08:00,cara bukanya bikin bingung
Ahmadirwan Ahmadirwanrahim,5,2025-12-08 14:09:41,"Dengan adanya aplikasi kasih IKD sangat membantu untuk memudahkan kita mengakses layanan publik tanpa dokumen fisik karena data ke pendudukan (NIK,/KK) tersimpan di smartphone dan bisa di akses kapan saja.Dan juga meningkatkan keamanan data melalui autentikasi PIN dan pece recognition untuk mencegah penyalahgunaan."
Syafa'at,1,2025-12-08 13:56:30,"Aplikasi sampah, digital dari mana tetap harus ke ke catatan sipil"
NURUL MUHAMMAD UBAIDILLAH NURUL MUHAMMAD UBAIDILLAH,1,2025-12-08 11:46:31,pesan tidak masuk ke email
Eeng Cao,1,2025-12-08 08:07:43,kenapa tidak bisa dibuka
Rian Wibisono,1,2025-12-08 07:42:03,jelek lemot
Adi Wiwaha,1,2025-12-08 06:49:26,"jelek, tiba2 ga bisa diakses. setelah diakses pun tiba2 disuruh buat ulang lagi, setelah kubuat ulang lagi ternyata tetep ga bisa masuk. hadehh"
Sulaeman Firdaus,1,2025-12-08 06:18:34,untuk pendaftaran email ga masuk masuk sudah 3 hari ditunggu
Fridolin Ars,1,2025-12-08 04:57:33,"aplikasi tidak jelas! sangat buruk! masa HP saya yg spek bagus kata pegawai kecamatan tidak bisa mensupport aplikasi, tapi giliran HP istri saya yg spek nya di bawah saya aman saja tidak ada kendala. aneh!"
Suwandi,5,2025-12-08 04:53:04,mantap
izhar riktihzar,1,2025-12-08 04:48:41,aplikasi tidak berguna
Bhisma Raditya Bhuana,1,2025-12-08 03:18:18,suka keluar sendiri waktu login dibilang lupa password hadeh
Dewa Mahendra,1,2025-12-08 03:10:29,reset password ribet harusnya pake nomer telp verif dsn pake email
Mazz Tejo Official,5,2025-12-08 02:25:08,top
Andika Wirawan,1,2025-12-08 02:06:15,ini aplikasi terparah pas mau buka menu pelayanan muter trus kaga kelar2..udh di coba pake wifi dan pake data tetap aja muter terus.. ujung2nya harus ke dukcapil juga..mendingan hapus aja apk nya
Tman Laperr,1,2025-12-08 00:41:10,aplikasi tambah buruk
Tailacomu setanh Anjing.,5,2025-12-07 23:59:17,ok
Agus Raci,1,2025-12-07 20:05:38,"Hahaha biasalah, aplikasi produk pemerintah. Sudah menghabiskan banyak anggaran, tapi nggak guna"
Arik Tri wahyuni,2,2025-12-07 15:25:50,Sudah download tp nggak bisa di buka awalnya bisa di buka setelah beberapa bulan nggak bisa di buka lagi.
bobby chris,1,2025-12-07 12:56:40,ribet dftr nya
Rahmiyati rahmi,5,2025-12-07 11:35:22,sangat mempermudah kita
Ari Prasetiyo,4,2025-12-07 10:05:27,mohon tingkatkan layanan secara update.. ay mau urus pindah domisili menu pelayanan kurang lengkap
Loiyan 203,2,2025-12-07 08:36:05,"pusing, mau login aja susaahhh. password benar tapi tidak bisa masuk🙄"
Sahidin Idin,5,2025-12-07 05:38:16,makasih atas pembuatan aktenyae
RioRistomoyo Zumrotul,1,2025-12-07 04:39:12,aplikasi aneh padahal punya negara...masak gak pernah ganti PIN tiba² gak bisa login dgn PIN itu...
Julita Seran,5,2025-12-07 01:29:27,kenapa ngk bisa di buka aplikasinya
Macan Bali Mula,1,2025-12-07 00:11:06,aplikasi online tapi harus daftar dihadapan petugas🤣🤣🤣 negara namdua ini betul² bagus konsepnya pokoknya nyusahin dan buka peluang calo ya bagus bagus
Muhammad Catur Pamungkas,2,2025-12-07 00:04:49,"beri ulasan yang realistis aja. aplikasi sdh bagus krn bisa akses ktp/kk secara digital tapi ada beberapa hal yg perlu ditambahkan/kurangi spt saat masuk menu harus ketik pin dan captca pdhal udah pake fingerprint, trus di menu pelayanan wajib bgt diringkas dan dipermudah. misal mau ngurus sket. kematian gak harus pake surat pengantar rt, keterangan dari polisi dsb, cukup pengantar dari desa dan keterangan kematian dari rs/faskes, trus pilihan menu nya juga lebih di lengkapi lagi"
Darto To,5,2025-12-06 15:43:05,tiba tiba menghilang
Pusat Data Win,5,2025-12-06 15:24:55,sudah kah seluruh instansi menerima aplikasi ini
Sego Bongkosan,1,2025-12-06 15:16:19,KEMBALI TERJADI.. KOK GA BISA LANGSUNG MASUK. DAFTAR LAGI. BAGAIMANA TOH APLIKASINYA.. SSEPERTINYA TIDAK SIAP PUNYA APLIKASI
Tri Winarso,4,2025-12-06 14:13:52,sangat membantu dan berguna
AGUSTI MAGHRIBI,1,2025-12-06 09:20:36,"sudah daftar, dulu buat login bisa & beberapa bulan gak dibukan buat login belum bisa"
Lila Aira,1,2025-12-06 08:39:10,"parah aplikasiny ga otomatis ke kunci, rawan bgd kalo sampe hp ilang trs data KtP d pake sama org jahat, aplikasi pemerintah ko gda aman²ny si"
wahyu Ningsih,5,2025-12-06 08:31:17,kok gk bisa dibuka ya.. kan sudah ada akunnya tapi skg gk bisa dibuka
Sukardi Bpn,1,2025-12-06 07:28:44,agak ribet
masyono tugiyono,1,2025-12-06 05:40:58,payah
Indra Kusayang kamu,1,2025-12-06 02:45:07,"aplikasi pemerintah kok modelnya begini,, pingin cek kk aja harus daftar ke kantor ngapain di buatkan aplikasi coba jika harus ke kantor mending ke kantornya sekalian begok luh,,!!,,,, fungsi aplikasi itu ya memudahkan bukan menyulitkan,, sama aja suruh ke kantor sendiri,, percumah di buatkan aplikasi...semua aplikasi pemerintah buat SKCK juga sama suruh daftar onlen juga daftar offlein,, kaya perjalanan 1 menit aja,, perjalanan 1jam lebih di buatin aplikasi bukanya mudahin malah nyusahin,,,"
NaNaS,1,2025-12-06 02:41:05,"cepet cepet update lah biar lebih baik lagi saya verifikasi foto aja g jalan jalan, jgn nyusahin orang mau dapet kerja plis PEMERINTAH"
New Ahmad,5,2025-12-06 02:38:52,sangat nerguna
HERU HARWANTO HERU HARWANTO,1,2025-12-06 02:03:34,hapus
Sodri Pp,5,2025-12-06 01:36:32,ok
rahmad agung,1,2025-12-06 01:03:36,aplikasi lambatt
Mr Mursalim,1,2025-12-06 00:57:42,"Aplikasi tak berguna, sudah sejak jaman zudan dipake sampai sekarang tidak bisa dipake apa apa, orang tetap cari e KTP, buang buang anggaran, hobby banget nyusahin rakyat"
Andrie Zf,4,2025-12-06 00:17:33,"sudah bagus,tapi sayang untuk lupa pin tidak tersedia dan harus ke dukcapilnya...mohon diperbaiki"
Sadarius Gea,3,2025-12-05 22:13:45,"mohon untuk terus pembaharuan aplikasi dengan mengikuti era zaman digital,Terimakasih👍🖐🏻"
Aris Mu'min,1,2025-12-05 13:20:20,"gilaaaaaaa yg bener aja Aplikasi baru di benerin di dukcapil sore malemnya gabisa di buka lagi, payahhhhhhhhhhhhhhhhg"
Wan Muhammad,5,2025-12-05 13:06:09,bagus
